coordinates,created_at,created_d,created_h,created_m,created_min,created_y,favorite_count,id,lang,retweet_count,source,text
,,23.0,11.0,1.0,31.0,2018.0,128771.0,955764970590961665,en,27490.0,Twitter for iPhone,Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...… https://t.co/X4ncbncUqi
,,23.0,4.0,1.0,30.0,2018.0,133075.0,955658992793149440,en,28218.0,Twitter for iPhone,"Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone, including Republicans, De… https://t.co/jzJKY5vaAz"
,,22.0,15.0,1.0,13.0,2018.0,92711.0,955458357200130049,en,21747.0,Twitter for iPhone,End the Democrats Obstruction! https://t.co/tzBXilvW1b
,,22.0,13.0,1.0,15.0,2018.0,109283.0,955428815777533952,en,22354.0,Twitter for iPhone,Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!
,,22.0,13.0,1.0,7.0,2018.0,131752.0,955426609326100480,en,33434.0,Twitter for iPhone,The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!
,,22.0,1.0,1.0,21.0,2018.0,126427.0,955249077645643776,en,23689.0,Twitter for iPhone,Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A”-and likewise to Doug Schoe… https://t.co/RnE8Gh9xnh
,,21.0,12.0,1.0,35.0,2018.0,179038.0,955056249925750784,en,48089.0,Twitter for iPhone,Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illega… https://t.co/px3zwtzYOV
,,21.0,12.0,1.0,20.0,2018.0,0.0,955052436187701248,en,45017.0,Twitter for iPhone,RT @realDonaldTrump: Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that hap…
,,21.0,2.0,1.0,34.0,2018.0,0.0,954905101717655552,en,14336.0,Twitter for iPhone,"RT @FoxNews: .@EricTrump: ""My father was elected for one reason, and that's because he actually believes in putting America first, which is…"
,,21.0,2.0,1.0,33.0,2018.0,0.0,954904669112995840,en,14511.0,Twitter for iPhone,"RT @FoxNews: .@KellyannePolls: ""Since @POTUS took office, 863,000 new jobs were filled by women. Over half a million American women have en…"
,,21.0,2.0,1.0,31.0,2018.0,0.0,954904246494916609,en,13166.0,Twitter for iPhone,"RT @FoxNews: .@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of…"
,,21.0,2.0,1.0,31.0,2018.0,0.0,954904160016785413,en,7332.0,Twitter for iPhone,"RT @FoxNews: .@EricTrump: ""People have seen a year that's incredible, that's been filled with nothing but the best for our country, America…"
,,21.0,2.0,1.0,18.0,2018.0,46268.0,954901073587834882,en,6347.0,Twitter for iPhone,Eric Trump on @JudgeJeanine on @FoxNews now!
,,21.0,0.0,1.0,47.0,2018.0,154503.0,954878124214415360,en,31938.0,Twitter for iPhone,"The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administ… https://t.co/SFS1cXtdx5"
,,21.0,0.0,1.0,40.0,2018.0,0.0,954876269300248576,en,42800.0,Twitter for iPhone,RT @realDonaldTrump: Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger…
,,20.0,22.0,1.0,31.0,2018.0,130504.0,954843844402647040,en,29027.0,Twitter for iPhone,"Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military… https://t.co/S9Vev9LI6r"
,,20.0,18.0,1.0,51.0,2018.0,209610.0,954788467069870081,en,53993.0,Twitter for iPhone,"Beautiful weather all over our great country, a perfect day for all Women to March. Get out there now to celebrate… https://t.co/0mof82VUry"
,,20.0,14.0,1.0,27.0,2018.0,168776.0,954722155463430145,en,45017.0,Twitter for iPhone,Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!
